Fiscal Year,Month Grouping,Month (abbv),Component,Demographic,Citizenship Grouping,Title of Authority,Encounter Type,Encounter Count,,,,,,,,,,,,
2020,FYTD,MAR,Office of Field Operations,UC / Single Minors,Other,Title 8,Inadmissibles,6,,,,,,,,,,,,
2020,FYTD,AUG,U.S. Border Patrol,Single Adults,Mexico,Title 42,Expulsions,29607,,,,,,,,,,,,
2020,FYTD,MAY,Office of Field Operations,UC / Single Minors,Honduras,Title 8,Inadmissibles,0,,,,,,,,,,,,
2020,FYTD,NOV,U.S. Border Patrol,FMUA,El Salvador,Title 8,Apprehensions,851,,,,,,,,,,,,
2019,FYTD,APR,U.S. Border Patrol,Single Adults,El Salvador,Title 8,Apprehensions,2289,,,,,,,,,,,,
2021,FYTD,NOV,Office of Field Operations,Accompanied Minors,Honduras,Title 42,Expulsions,6,,,,,,,,,,,,
2021,FYTD,FEB,Office of Field Operations,UC / Single Minors,El Salvador,Title 8,Inadmissibles,3,,,,,,,,,,,,
2021,FYTD,NOV,U.S. Border Patrol,UC / Single Minors,Mexico,Title 42,Expulsions,1100,,,,,,,,,,,,
2020,FYTD,MAY,U.S. Border Patrol,UC / Single Minors,Mexico,Title 8,Apprehensions,16,,,,,,,,,,,,
2021,FYTD,JUN,Office of Field Operations,FMUA,Mexico,Title 8,Inadmissibles,2346,,,,,,,,,,,,
2021,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,El Salvador,Title 42,Expulsions,116,,,,,,,,,,,,
2021,FYTD,MAY,U.S. Border Patrol,Single Adults,Honduras,Title 8,Apprehensions,586,,,,,,,,,,,,
2021,FYTD,SEP,Office of Field Operations,Accompanied Minors,Other,Title 42,Expulsions,7,,,,,,,,,,,,
2021,FYTD,MAR,Office of Field Operations,Single Adults,El Salvador,Title 8,Inadmissibles,12,,,,,,,,,,,,
2021,FYTD,JAN,U.S. Border Patrol,UC / Single Minors,Honduras,Title 8,Apprehensions,1141,,,,,,,,,,,,
2020,FYTD,OCT,U.S. Border Patrol,UC / Single Minors,Other,Title 8,Apprehensions,145,,,,,,,,,,,,
