Date,Price
20/05/2022,1841.800049
23/05/2022,1847.800049
24/05/2022,1865.099976
25/05/2022,1846.199951
26/05/2022,1847.400024
27/05/2022,1851.300049
31/05/2022,1842.699951
01/06/2022,1843.300049
02/06/2022,1866.5
03/06/2022,1845.400024
06/06/2022,1839.199951
07/06/2022,1847.5
08/06/2022,1851.900024
09/06/2022,1848.800049
10/06/2022,1871.5
13/06/2022,1828
14/06/2022,1809.5
15/06/2022,1815.300049
16/06/2022,1845.699951
17/06/2022,1835.599976
21/06/2022,1834.599976
22/06/2022,1834.300049
23/06/2022,1825.699951
24/06/2022,1826.5
27/06/2022,1820.900024
28/06/2022,1817.5
29/06/2022,1813.699951
30/06/2022,1804.099976
01/07/2022,1798.900024
05/07/2022,1761.800049
06/07/2022,1734.900024
07/07/2022,1737.900024
08/07/2022,1740.599976
11/07/2022,1730
12/07/2022,1723.300049
13/07/2022,1734.199951
14/07/2022,1704.5
15/07/2022,1702.400024
18/07/2022,1709.199951
19/07/2022,1710
20/07/2022,1699.5
21/07/2022,1712.699951
22/07/2022,1727.099976
25/07/2022,1719
26/07/2022,1717.699951
27/07/2022,1719.099976
28/07/2022,1750.300049
29/07/2022,1762.900024
01/08/2022,1769
02/08/2022,1771.099976
03/08/2022,1758
04/08/2022,1788.5
05/08/2022,1772.900024
08/08/2022,1786.800049
09/08/2022,1794
10/08/2022,1795.599976
11/08/2022,1789.699951
12/08/2022,1798.599976
15/08/2022,1781.400024
16/08/2022,1773.199951
17/08/2022,1760.300049
18/08/2022,1755.300049
19/08/2022,1747.599976
22/08/2022,1734
23/08/2022,1746.800049
24/08/2022,1747.800049
25/08/2022,1757.699951
26/08/2022,1736.099976
29/08/2022,1736.599976
30/08/2022,1723.199951
31/08/2022,1712.800049
01/09/2022,1696.599976
02/09/2022,1709.800049
06/09/2022,1700.400024
07/09/2022,1715.300049
08/09/2022,1708
09/09/2022,1716.199951
12/09/2022,1728.099976
13/09/2022,1705
14/09/2022,1696.5
15/09/2022,1665.400024
16/09/2022,1671.699951
19/09/2022,1666.199951
20/09/2022,1659.699951
21/09/2022,1664.599976
22/09/2022,1670.800049
23/09/2022,1645.300049
26/09/2022,1623.300049
27/09/2022,1626.699951
28/09/2022,1660.400024
29/09/2022,1658.5
30/09/2022,1662.400024
